192.52.178.30 'k.gtld-servers.net'
5.8.68.78 NotFound
46.53.144.169 'leased-line-vitebsk-46-53-144-169.telecom.by'
81.4.97.217 'ns1.metaregistrar.nl'
200.152.65.19 'mail3.tdkom.net.br'
173.44.38.35 'hugofb25.virtuaserver.com.br'
192.108.199.9 'Skrutt.Stupi.SE'
108.162.192.190 'lorna.ns.cloudflare.com'
200.230.161.68 'ns2.portoseguro.com.br'
200.230.171.253 'out2ebt2.portoseguro.com.br'
111.108.30.20 'gw.cope.jp'
172.64.33.248 'yichun.ns.cloudflare.com'
205.251.193.49 'ns-305.awsdns-38.com'
108.162.195.193 'kobe.ns.cloudflare.com'
162.159.44.193 'kobe.ns.cloudflare.com'
205.251.196.250 'ns-1274.awsdns-31.org'
85.25.237.164 'ns1.as.neory-dns.net'
132.255.128.249 '132.255.128.249.ultrafibrainternet.net.br'
68.94.156.136 'ns-west.cerf.net'
149.56.43.182 'vpn.safetymails.com'
179.127.32.2 'ip-179.127.32.2.digitalonline.com.br'
51.255.161.122 'ns2.mtmcampos.com.br'
64.71.138.162 'ns1.shadowserver.org'
173.245.59.247 'west.ns.cloudflare.com'
189.9.32.12 NotFound
3.222.35.82 'ec2-3-222-35-82.compute-1.amazonaws.com'
94.23.0.63 'm1.bakecaincontrii.com'
92.53.116.26 'ns3.timeweb.org'
150.163.2.11 'giotto.dpi.inpe.br'
150.163.141.122 'dns-2.cptec.inpe.br'
108.162.193.161 'earl.ns.cloudflare.com'
184.73.164.94 'ec2-184-73-164-94.compute-1.amazonaws.com'
173.245.58.196 'meg.ns.cloudflare.com'
91.134.237.32 'cpanel18.ti85.com.br'
177.87.232.10 'ns1.montealtonet.com.br'
137.118.1.28 'ns1.neonova.net'
205.251.199.72 'ns-1864.awsdns-41.co.uk'
207.200.185.133 NotFound
66.33.206.206 'ip-66-33-206-206.dreamhost.com'
108.162.193.228 'rodney.ns.cloudflare.com'
99.99.99.136 'ns-east.cerf.net'
140.211.167.100 'stormfly-04.osm.osuosl.org'
187.33.240.238 '238.240.33.187.in-addr.arpa'
208.97.182.10 'ns2.newdream.net'
192.99.83.161 'ns.nscluster.pm'
158.38.8.133 'z.nic.no'
188.166.70.123 'd1.bn.md'
64.90.62.230 'ns.newdream.net'
66.7.204.2 'ns1.dimenoc.com'
172.64.33.151 'darwin.ns.cloudflare.com'
201.48.198.4 'dns.correios.com.br'
201.48.199.11 'dns2.correios.com.br'
201.48.199.14 'dns3.correios.com.br'
131.161.40.252 NotFound
131.161.40.253 NotFound
172.64.32.188 'liv.ns.cloudflare.com'
205.251.197.13 'ns-1293.awsdns-33.org'
177.131.1.109 'ns2.netfacil.net.br'
216.200.240.180 NotFound
35.209.106.15 '15.106.209.35.bc.googleusercontent.com'
187.17.102.209 'ns3.host.uol.com.br'
97.74.100.21 'ns41.domaincontrol.com'
92.43.16.195 'ns2.hosteurope.es'
170.39.196.165 'ns1.stgraber.org'
170.150.26.53 'ns2.adaptlink.com.br'
62.138.0.79 'malta2979.turbodns.es'
172.64.35.221 'jaxson.ns.cloudflare.com'
170.39.196.171 'ns2.stgraber.org'
94.16.6.151 'ns04.anexia.at'
193.190.198.14 'dns-auth-1-brueve.belnet.be'
189.89.131.4 'dns4.itsweb.com.br'
208.94.3.15 'ns4.imageshack.us'
164.15.254.1 'ns1.ulb.be'
38.99.77.14 'ns3.imageshack.us'
164.15.254.5 'ns2.ulb.be'
91.134.237.33 'ip3.ti85.com.br'
219.118.70.12 'ns2.SiriusCloud.jp'
219.118.70.11 'ns1.SiriusCloud.jp'
92.223.66.22 'ns2.dnsgcore.com'
189.126.48.9 'ns.cpnet.com.br'
189.126.48.8 'ns2.cpnet.com.br'
97.74.104.15 'ns29.domaincontrol.com'
81.88.63.114 'ns0.phase8.net'
118.23.100.18 'ns-kg003.ocn.ad.jp'
173.245.59.130 'mark.ns.cloudflare.com'
187.60.177.8 'clarabela.viavale.com.br'
202.66.172.245 'itcib.cloudhostdns.net'
192.35.35.5 'ns3.lmco.com'
94.237.93.105 'ns1.amazee.io'
162.251.82.122 '162.251.82.122.reverse.myorderbox.com'
172.64.34.227 'anastasia.ns.cloudflare.com'
172.64.34.175 'alexia.ns.cloudflare.com'
167.250.153.198 'ns2.ateky.net.br'
176.58.104.251 'vetus.crackerjack.net'
172.64.35.151 'coen.ns.cloudflare.com'
66.135.215.134 'g3.ebay.com'
45.79.222.218 'senex.crackerjack.net'
47.88.44.155 NotFound
181.191.196.4 'ns1.atuamax.com.br'
181.191.196.5 'ns2.atuamax.com.br'
66.7.215.235 'ns10.hostdime.com.br'
172.64.33.243 'vern.ns.cloudflare.com'
140.205.41.17 NotFound
66.7.215.234 'ns2088.dizinc.com'
187.6.106.33 '187-6-106-33.gnace704.e.brasiltelecom.net.br'
177.8.89.217 'dns1.2cta.eb.mil.br'
204.152.222.2 'ns1.quadranet.com'
162.241.203.148 'ns1016.hostgator.com.br'
186.224.105.20 'interno.insidesign.com.br'
162.241.203.149 'ns1017.hostgator.com.br'
189.126.215.3 'dns2.novaciatelecom.com.br'
217.160.113.51 'nsb1.schlundtech.de'
173.245.59.161 'earl.ns.cloudflare.com'
3.87.22.163 'ec2-3-87-22-163.compute-1.amazonaws.com'
205.251.199.117 'ns-1909.awsdns-46.co.uk'
162.159.44.148 'rustam.ns.cloudflare.com'
35.171.28.186 'ec2-35-171-28-186.compute-1.amazonaws.com'
205.251.199.3 'ns-1795.awsdns-32.co.uk'
177.47.27.159 'avast-159-ae105.161.gw8.sp2.equinix.net'
181.214.52.38 'picna.messengerwish.net'
209.58.130.29 NotFound
84.17.46.132 'unn-84-17-46-132.cdn77.com'
180.97.36.64 NotFound
179.189.242.195 NotFound
162.159.24.227 'ns4.a2hosting.com'
162.159.25.95 'ns1.a2hosting.com'
173.201.67.64 'ns2.namefind.com'
108.162.193.177 'isaac.ns.cloudflare.com'
45.191.32.11 'ns2.leksttelecom.com.br'
177.53.4.236 'ns2.aliennetwork.net.br'
202.31.187.220 NotFound
97.74.99.64 'ns1.namefind.com'
62.210.136.184 'inbox.srvmin.network'
189.6.0.175 'bd0600af.virtua.com.br'
168.90.147.103 '168-90-147-103.jrnetdns.net.br'
66.7.218.114 'server.anverso.net.br'
66.7.218.115 'ns2.anverso.net.br'
104.199.79.253 '253.79.199.104.bc.googleusercontent.com'
205.251.195.248 'ns-1016.awsdns-63.net'
216.98.208.9 'ns2.onitel.com.br'
194.168.4.33 'ns4.virginmedia.net'
205.251.196.102 'ns-1126.awsdns-12.org'
14.0.115.25 NotFound
172.64.33.56 'ajay.ns.cloudflare.com'
177.135.238.250 'socioambiental.static.gvt.net.br'
140.205.29.118 NotFound
163.171.141.55 NotFound
103.254.191.125 NotFound
142.4.9.38 'ns2.pecca.com.br'
189.6.0.183 'bd0600b7.virtua.com.br'
47.88.44.156 NotFound
69.168.230.165 '69-168-230-165.static.onappcdn.com'
157.185.150.45 NotFound
187.84.80.101 'ns2.oxente.net'
52.20.26.87 'ec2-52-20-26-87.compute-1.amazonaws.com'
187.84.225.12 NotFound
52.4.207.204 'ec2-52-4-207-204.compute-1.amazonaws.com'
187.84.225.11 NotFound
52.175.237.19 NotFound
172.64.35.245 'hayes.ns.cloudflare.com'
13.107.206.36 'ns4-36.azure-dns.info'
172.64.33.89 'cleo.ns.cloudflare.com'
192.0.74.8 'ns3.akismet.com'
173.245.59.89 'cleo.ns.cloudflare.com'
205.251.193.17 'ns-273.awsdns-34.com'
167.250.244.2 'ns1.tefnettecnologia.net.br'
198.181.117.8 'ns2.akismet.com'
185.226.221.128 NotFound
192.0.74.6 'wordpress.com'
130.117.92.188 'ns2.berkano-systems.net'
67.23.244.67 'ns2919.dizinc.com'
185.226.220.128 NotFound
149.12.65.157 'ns1.vivacable.net'
189.113.164.130 'ns1.wkve.net.br'
189.113.164.131 'ns2.wkve.net.br'
45.116.42.1 NotFound
204.61.216.69 'anyns.cuhk.edu.hk'
45.116.42.4 NotFound
103.26.140.23 'qptrj618.hostpapavps.net'
189.75.90.14 NotFound
140.205.29.117 NotFound
188.119.65.50 NotFound
177.38.20.3 'ns2.maxtelecom.com.br'
24.220.208.179 '24-220-208-179-static.midco.net'
108.162.192.63 'amanda.ns.cloudflare.com'
142.93.88.85 'ns2.fmb.la'
205.251.199.228 'ns-2020.awsdns-60.co.uk'
45.71.124.130 'ns1.fibranet.net.br'
187.16.136.24 'hosting.arganet.com.br'
138.247.117.10 'ns01.dsu.edu'
187.16.136.29 'ns02hosting.arganet.com.br'
185.219.134.156 'ns0.fmb.la'
138.247.115.252 NotFound
45.230.167.75 '75.167.230.45.fibra1.com.br'
138.247.115.253 NotFound
213.36.253.2 'goldeneye.videolan.org'
113.96.200.38 NotFound
177.8.80.233 'dns2.eb.mil.br'
177.8.81.232 NotFound
13.107.24.221 'ns3-221.azure-dns.org'
177.8.88.249 'dns4.2cta.eb.mil.br'
177.8.89.249 'dns2.2cta.eb.mil.br'
162.159.25.173 NotFound
162.159.24.135 NotFound
205.251.199.254 'ns-2046.awsdns-63.co.uk'
213.167.230.169 'ns-168-b.gandi.net'
200.198.213.92 'mx2.mdr.gov.br'
212.57.33.20 'ns1.dnsbackup.net'
203.205.234.28 NotFound
172.64.32.137 'olga.ns.cloudflare.com'
138.204.123.205 '138.204.123.205.se-connect-internet.com.br'
108.162.195.161 'sullivan.ns.cloudflare.com'
172.64.35.161 'sullivan.ns.cloudflare.com'
138.204.123.203 'ns1.se-connect-internet.com.br'
217.67.30.248 'ns2.nameserver.sk'
173.201.72.25 'ns50.domaincontrol.com'
97.74.104.25 'ns49.domaincontrol.com'
50.22.35.226 'ns2.speedydns.net'
173.245.59.122 'jake.ns.cloudflare.com'
173.245.58.216 'rafe.ns.cloudflare.com'
162.251.82.124 '162.251.82.124.reverse.myorderbox.com'
199.101.99.186 'ttd1.thetradersden.org'
185.130.204.34 NotFound
162.241.128.48 '162-241-128-48.unifiedlayer.com'
207.244.71.177 NotFound
217.160.82.107 'ns1107.ui-dns.com'
138.128.179.107 'ns1.servertrk.com'
162.241.100.163 'vps-3754171.deltafire.com.br'
138.128.179.108 'ns2.servertrk.com'
5.79.64.239 NotFound
205.251.192.84 'ns-84.awsdns-10.com'
193.2.1.87 'kanin.arnes.si'
64.29.144.70 'ns1.abac.com'
167.114.76.238 'sec40007.ecloud.znoc.net'
64.29.154.70 'ns2.abac.com'
198.23.53.103 'hosted.by.liquidnetlimited.com'
108.162.193.96 'damon.ns.cloudflare.com'
70.32.1.32 'ip-70.32.1.32.hosted.by.gigenet.com'
61.151.180.49 '49.180.151.61.dial.xw.sh.dynamic.163data.com.cn'
192.99.140.136 'gateway.brasildominio.com.br'
89.34.72.42 'ns2.primetelecom.ro'
209.235.144.103 'ns1.aplus.net'
89.37.120.6 'ns1.primetelecom.ro'
185.10.58.148 'mta.operatetailor.com.de'
96.80.247.204 '96-80-247-204-static.hfc.comcastbusiness.net'
198.41.222.254 'dns2.easydns.net'
172.64.32.248 'barbara.ns.cloudflare.com'
186.201.74.251 'ws.spc.org.br'
198.23.53.102 'hosted.by.liquidnetlimited.com'
45.77.82.193 'dns1.zoneedit.com'
185.10.58.147 'mta.eliminatetailor.com.de'
128.199.163.75 'sgp.zoneedit.com'
106.38.197.52 NotFound
97.74.110.50 'pdns01.domaincontrol.com'
205.251.196.183 'ns-1207.awsdns-22.org'
114.115.192.11 'ecs-114-115-192-11.compute.hwclouds-dns.com'
195.211.101.87 'falcoware.com'
52.230.30.87 NotFound
31.211.31.232 'freegamia.com'
205.251.195.82 'ns-850.awsdns-42.net'
213.248.217.32 NotFound
222.124.18.193 NotFound
45.32.168.168 'ns2.hostmidia.com.br'
170.178.168.203 'becrawl-show.flatreutic.com'
203.130.196.6 'ns1.telkom.net.id'
222.124.18.62 'dns2.telkom.net.id'
87.98.202.16 'code.telechargement.fr'
203.166.34.147 NotFound
36.110.213.100 NotFound
202.134.0.62 'dns1.telkom.net.id'
195.66.80.251 NotFound
94.100.165.49 'gwprod.nexway.com'
52.73.191.223 'ec2-52-73-191-223.compute-1.amazonaws.com'
203.119.60.105 'e.dns-servers.vn'
123.125.54.239 NotFound
208.76.58.178 'ns1178.dns.dyn.com'
222.255.121.247 'static.vdc.vn'
108.163.182.202 'mail.pavietnam.com'
208.76.61.194 'ns4194.dns.dyn.com'
208.76.60.176 'ns3176.dns.dyn.com'
208.76.59.185 'ns2185.dns.dyn.com'
203.119.73.105 'b.dns-servers.vn'
108.162.192.244 'rihana.ns.cloudflare.com'
217.160.80.199 'ns-gmx.ui-dns.de'
191.242.80.30 'ns2.ipw.com.br'
217.160.81.199 'ns-gmx.ui-dns.biz'
205.251.194.50 'ns-562.awsdns-06.net'
193.51.208.66 'ns3.w3.org'
45.234.132.22 '22.132.234.45.playnetelecom.com.br'
203.119.38.105 'c.dns-servers.vn'
216.239.36.100 'ns-cloud-f3.googledomains.com'
173.201.69.12 'ns24.domaincontrol.com'
207.34.140.223 NotFound
106.11.211.68 NotFound
177.101.127.163 'mx.lojasbeagle.com.br'
200.242.30.122 NotFound
170.84.79.94 'dns1.amanarinet.com.br'
172.64.33.162 'elliot.ns.cloudflare.com'
45.184.168.254 '45-184-168-254.infoarcostelecom.com.br'
108.162.193.203 'mario.ns.cloudflare.com'
45.239.148.132 'ns1.wisehost.com.br'
45.161.224.11 '11.224.161.45.provedorjuniorweb.com.br'
108.162.193.129 'lee.ns.cloudflare.com'
172.64.33.129 'lee.ns.cloudflare.com'
108.167.132.152 'ns244.prodns.com.br'
108.167.132.173 'ns245.prodns.com.br'
213.167.230.41 'ns-40-b.gandi.net'
192.99.137.246 'ip246.ip-192-99-137.net'
172.64.32.92 'deb.ns.cloudflare.com'
172.64.33.73 'beau.ns.cloudflare.com'
173.245.58.250 'linda.ns.cloudflare.com'
108.162.193.152 'david.ns.cloudflare.com'
208.43.227.204 'cc.e3.2bd0.ip4.static.sl-reverse.com'
81.169.148.41 'ns2.stratoserver.net'
217.160.57.203 'ns3.rz-ip.eu'
81.169.148.43 'pns2.rz-ip.net'
217.160.82.159 'ns3.stratoserver.net'
205.251.194.175 'ns-687.awsdns-21.net'
205.251.192.75 'ns-75.awsdns-09.com'
217.160.80.159 'ns4.stratoserver.net'
204.61.216.48 'anycast.ns.nic.bo'
172.64.32.240 'wanda.ns.cloudflare.com'
187.32.49.161 '187-032-049-161.static.ctbctelecom.com.br'
81.169.163.40 'ns.stratoserver.net'
51.254.53.104 'dns1.webempresa.eu'
51.254.53.112 'ns1682.webempresa.eu'
191.7.136.12 'ns2.ejmnet.com.br'
187.4.65.198 NotFound
205.251.198.19 'ns-1555.awsdns-02.co.uk'
45.162.252.11 NotFound
143.0.184.4 'resolver2.connectatelecom.net'
172.64.32.210 'nia.ns.cloudflare.com'
200.201.204.3 'mx.domusgrupo.com.br'
108.162.195.221 'jaxson.ns.cloudflare.com'
128.59.1.1 'ext-ns1.columbia.edu'
195.169.124.71 'ns3.surfnet.nl'
194.95.236.67 'ns3.dfn.de'
208.76.61.1 'ns3.dyndns.org'
158.143.97.249 NotFound
172.64.33.183 'jobs.ns.cloudflare.com'
213.167.230.225 'ns-224-b.gandi.net'
192.87.106.101 'ns1.surfnet.nl'
158.143.96.8 'ns1.lse.ac.uk'
144.160.128.140 'ns2.attdns.com'
216.172.172.170 'srv146.prodns.com.br'
153.96.1.1 'ns2.fraunhofer.de'
185.162.248.12 'v22018015563159278.bestsrv.de'
192.115.141.253 'nse.ns.il'
88.212.252.2 NotFound
177.69.106.51 '51.pibcuritiba.org.br'
128.139.35.5 'ilns.ilan.net.il'
217.70.187.200 'ns-199-c.gandi.net'
213.167.230.19 'ns-18-b.gandi.net'
212.117.129.3 'pdns.goldenlines.net.il'
193.16.10.40 NotFound
198.211.34.138 'host-198-211-34-138-by.yhsrv.com'
200.242.30.249 NotFound
212.117.128.6 'sdns.goldenlines.net.il'
204.61.216.134 'ns4.ns.il'
128.139.34.240 'lookup.iucc.ac.il'
192.115.7.53 'nsa.ns.il'
186.233.24.242 '186-233-24-242.ultraveloztelecom.net.br'
192.115.7.60 'nsb.ns.il'
143.202.184.251 '251.184.202.143.bremtechnology.com.br'
143.202.184.250 '250.184.202.143.bremtechnology.com.br'
8.210.137.218 'ali1.litvpn.com'
75.2.76.235 'acfd2fa8a21580eb3.awsglobalaccelerator.com'
140.205.29.113 NotFound
203.205.195.118 NotFound
185.159.197.56 'cl1-tld.d-zone.ca'
162.241.203.44 'ns987.hostgator.com.br'
162.241.203.43 'ns986.hostgator.com.br'
201.55.9.71 NotFound
112.60.0.149 NotFound
163.177.81.214 NotFound
45.54.67.1 'ns01.slackdns.com'
52.38.33.58 'ec2-52-38-33-58.us-west-2.compute.amazonaws.com'
173.245.58.134 'mary.ns.cloudflare.com'
40.66.146.32 NotFound
172.64.33.250 'zod.ns.cloudflare.com'
173.245.59.143 'sid.ns.cloudflare.com'
40.66.146.94 NotFound
177.20.160.10 'hosting00.prtelecom.com.br'
204.13.251.25 'ns4.p25.dynect.net'
40.66.146.96 NotFound
40.66.146.31 NotFound
54.94.241.99 'ec2-54-94-241-99.sa-east-1.compute.amazonaws.com'
170.245.244.2 'ns1.nexxlink.net.br'
217.70.187.99 'ns-98-c.gandi.net'
213.137.173.17 NotFound
108.167.132.101 'ns233.prodns.com.br'
40.66.152.156 NotFound
40.66.146.33 NotFound
217.77.225.150 'antor.carrefour.com'
103.224.212.63 'ns18.above.com'
40.66.192.212 NotFound
40.66.152.157 NotFound
103.224.182.63 'ns17.above.com'
172.64.32.158 'gene.ns.cloudflare.com'
108.167.132.38 'br304.hostgator.com.br'
40.66.146.95 NotFound
192.185.223.130 'br304-ip02.hostgator.com.br'
40.66.146.97 NotFound
108.162.193.141 'sam.ns.cloudflare.com'
31.177.64.240 'dnsproxy1.fm.nic.ru'
176.99.13.13 'ns1.reg.ru'
59.36.120.151 '151.120.36.59.broad.dg.gd.dynamic.163data.com.cn'
45.162.252.12 NotFound
51.79.65.252 'dns1.digitalpixel.com.br'
189.45.12.34 'dns4.moebius.com.br'
66.187.233.212 'ns3.redhat.com'
172.64.32.76 'bonnie.ns.cloudflare.com'
40.66.146.30 NotFound
40.66.152.159 NotFound
68.94.156.132 'cbru.br.ns.els-gms.att.net'
192.254.72.193 NotFound
108.162.192.145 'sue.ns.cloudflare.com'
186.235.80.6 'ns2.brava.net.br'
5.9.158.243 'host.omnifinances.com'
40.66.152.158 NotFound
170.33.80.13 NotFound
194.85.32.18 'ns.runnet.ru'
79.141.49.1 'ns8.ertelecom.ru'
176.9.5.77 'perun.conserit.pl'
108.162.193.76 'brett.ns.cloudflare.com'
186.219.120.249 'ns1.adaptlink.com.br'
186.235.80.5 'resolver2.brava.net.br'
195.175.37.37 'rdns2.turktelekom.com.tr'
131.0.95.133 '131-0-95-133.ip.siqueiralink.com.br'
131.0.95.130 '131-0-95-130.ip.siqueiralink.com.br'
209.132.183.2 'ns2.redhat.com'
207.246.81.54 'win07.tmd.cloud'
189.50.128.150 'ns2.iftnet.com.br'
189.50.140.52 'ns1.iftnet.com.br'
200.185.97.66 'dns3delegated.optiglobe.net.br'
200.185.6.163 'dns2.optiglobe.net.br'
186.237.140.50 'ns5.iftnet.com.br'
108.162.193.216 'noel.ns.cloudflare.com'
216.246.208.247 NotFound
186.195.37.178 '186.195.37.178.uninetbsb.com.br'
173.245.59.69 'arnold.ns.cloudflare.com'
108.162.193.69 'arnold.ns.cloudflare.com'
172.64.33.77 'bruce.ns.cloudflare.com'
193.74.208.137 'ns1.scartech.be'
130.127.255.253 'extns2.clemson.edu'
186.16.154.5 'inet3.telecel.com.py'
108.162.193.175 'hans.ns.cloudflare.com'
202.239.113.19 'ns1.sphere.ad.jp'
216.165.191.53 'ns3.auth.osuosl.org'
208.78.70.28 'ns1.p28.dynect.net'
208.78.71.28 'ns3.p28.dynect.net'
204.13.251.28 'ns4.p28.dynect.net'
162.159.44.235 'randall.ns.cloudflare.com'
173.245.58.124 'kate.ns.cloudflare.com'
162.159.42.4 'ns008.name.cloud.ibm.com'
162.159.34.17 'ns033.name.cloud.ibm.com'
172.64.32.197 'megan.ns.cloudflare.com'
162.159.42.17 'ns034.name.cloud.ibm.com'
108.163.182.203 'ns203.pavietnam.com'
211.138.18.254 NotFound
177.8.94.7 'ns1.51ct.eb.mil.br'
172.64.32.85 'chloe.ns.cloudflare.com'
201.33.240.40 'dnsaut2.conectcor.com.br'
82.165.72.193 NotFound
185.159.81.204 'customer.clientshostname.com'
123.150.150.151 NotFound
173.245.59.235 'stan.ns.cloudflare.com'
177.54.0.76 NotFound
177.200.201.205 NotFound
67.23.235.157 'cloud.plataformaleiloar.com.br'
173.245.58.85 'chloe.ns.cloudflare.com'
173.245.59.77 'bruce.ns.cloudflare.com'
172.64.32.195 'meera.ns.cloudflare.com'
46.20.146.240 'static.kriweb.com'
99.99.99.128 'ohcu.oh.mt.np.els-gms.att.net'
205.251.196.88 'ns-1112.awsdns-11.org'
216.201.81.254 'ns1.nationalnet.com'
173.245.59.176 'henry.ns.cloudflare.com'
201.131.172.60 'ns2.plugnetonline.com.br'
213.47.222.133 'ns2.upc.biz'
177.15.65.131 NotFound
188.93.230.81 's2.bazzoa.com'
108.179.192.101 'br664-ip02.hostgator.com.br'
208.78.70.17 'ns1.p17.dynect.net'
200.230.226.125 'out1ebt1.portoseguro.com.br'
93.188.0.21 'ns2.loopia.se'
199.79.62.190 'bh-21.webhostbox.net'
13.107.49.1 NotFound
15.219.160.23 'ns8.hpe.com'
192.171.96.241 'ns3.dattobackup.com'
15.219.145.22 'ns1.hpe.com'
172.64.33.65 'anuj.ns.cloudflare.com'
186.236.83.12 'reitoria.lobato.unitau.br'
200.220.136.253 'ns-1.nipcable.com.br'
177.54.151.140 'cloud.grx.digital'
177.54.151.142 NotFound
68.238.96.71 'ns4.verizon.net'
68.238.66.72 'ns7.verizon.net'
200.211.179.68 'ns1.portoseguro.com.br'
189.85.85.220 'ns3.ext.trt10.jus.br'
205.251.198.192 'ns-1728.awsdns-24.co.uk'
172.64.33.201 'lynn.ns.cloudflare.com'
212.185.24.129 NotFound
45.6.164.50 'ns2.cmctelecom.com.br'
199.71.0.108 'ns2.arin.net'
205.251.198.200 'ns-1736.awsdns-25.co.uk'
162.241.75.144 'vps-4446725.olicitante.com.br'
172.64.33.75 'boyd.ns.cloudflare.com'
108.162.192.122 'jill.ns.cloudflare.com'
161.148.1.8 'antares.serpro.gov.br'
192.147.157.144 'ns3.digsigtrust.com'
186.208.216.242 '242.216.208.186.yukanet.com.br'
214.14.133.11 'dns-pub-f2-u.pentagon.mil'
162.159.42.21 'ns042.name.cloud.ibm.com'
162.159.34.25 'ns049.name.cloud.ibm.com'
199.212.0.108 'ns1.arin.net'
199.252.47.11 'dns-pub-f1-u.pentagon.mil'
162.241.75.212 '162-241-75-212.unifiedlayer.com'
180.97.176.169 NotFound
173.245.58.228 'rosa.ns.cloudflare.com'
178.79.182.197 'zone-ns3.dnswl.org'
199.252.47.75 'dns-pub-f3-u.pentagon.mil'
108.162.192.178 'karina.ns.cloudflare.com'
45.231.180.14 'ns2.swinternet.net.br'
213.167.230.14 'ns-13-b.gandi.net'
187.110.226.5 'dnscenter2.dnscenter.com.br'
173.245.59.227 'rocky.ns.cloudflare.com'
217.70.187.219 'ns-218-c.gandi.net'
66.135.49.44 'solar.sbcustomer.com'
62.210.253.76 '62-210-253-76.rev.poneytelecom.eu'
140.205.81.23 NotFound
51.15.96.103 'ns4.fmb.la'
173.245.59.106 'carl.ns.cloudflare.com'
108.162.194.129 'nova.ns.cloudflare.com'
172.64.33.227 'rocky.ns.cloudflare.com'
108.162.193.227 'rocky.ns.cloudflare.com'
85.159.233.158 'ns101.cloudns.net'
155.101.201.10 'fiber1.utah.edu'
155.101.3.10 'ns.inscc.utah.edu'
128.110.132.99 'fiber.utah.edu'
192.241.154.35 NotFound
54.39.26.54 'ip54.ip-54-39-26.net'
204.61.216.30 'cl-ns.anycast.pch.net'
173.245.58.177 'kami.ns.cloudflare.com'
200.17.53.1 'peixe-boi.inpa.gov.br'
64.32.28.226 'ceotrk.undersonal.com'
205.251.199.193 'ns-1985.awsdns-56.co.uk'
217.5.100.185 'dns50.t-ipnet.de'
137.69.120.116 'emcns7.emc.com'
67.228.255.25 '19.ff.e443.ip4.static.sl-reverse.com'
185.192.222.10 'ns3.dinahosting.com'
189.9.5.199 NotFound
108.162.192.85 'chloe.ns.cloudflare.com'
12.31.226.137 NotFound
12.31.226.138 NotFound
98.142.97.213 '98-142-97-213.static.hostdime.com'
103.254.191.123 NotFound
138.128.182.92 'ns112.hmnoc.net'
203.14.168.3 'ns1.iinet.net.au'
138.128.182.91 'ns111.hmnoc.net'
201.157.205.242 '201-157-205-242.tascom.com.br'
213.251.188.143 'dns20.ovh.net'
95.211.189.131 NotFound
65.254.254.100 'ns1.fatcow.com'
209.99.64.51 '209-99-64-51.fwd.datafoundry.com'
189.17.21.82 NotFound
151.11.83.9 'ns9.tuonomeregistrar.com'
144.217.254.231 'sc.webcontrole.net'
131.125.10.10 'astro1.Kean.EDU'
168.194.96.7 '7.96.194.168.static.brasilnetcp.net.br'
45.188.30.10 'ns2.servnetpb.com.br'
131.125.10.11 'astr62.Kean.EDU'
80.67.194.67 'pollux.frontedge.net'
205.251.198.188 'ns-1724.awsdns-23.co.uk'
80.67.194.66 'castor.frontedge.net'
108.162.193.135 'paul.ns.cloudflare.com'
205.251.194.59 'ns-571.awsdns-07.net'
162.159.38.175 'alexia.ns.cloudflare.com'
204.11.235.29 'ns1.vaultnetworks.com'
204.11.235.30 'ns2.vaultnetworks.com'
104.156.80.42 NotFound
219.138.102.82 NotFound
220.181.82.214 'nsb.cds-china.com'
200.98.175.16 '200-98-175-16.clouduol.com.br'
185.184.10.248 'ip-185-184-10-248.rtbhouse.net'
177.21.64.226 '177.21.64.226.actioncentro.net.br'
136.243.155.221 'outpostnue02.infonline.de'
194.51.3.49 'bow.rain.fr'
194.158.123.53 'ns2.bouyguesbox.fr'
194.146.106.34 'cl1.dnsnode.net'
160.9.137.60 'dns5.lmu.ac.uk'
177.129.8.111 'ns1.cittatelecom.net.br'
31.169.50.10 's311695010.blix.com'
143.106.108.11 'marte.bc.unicamp.br'
214.2.214.178 'ns01-we-gw.health.mil'
172.64.33.175 'hans.ns.cloudflare.com'
213.133.103.102 'outpostnue03.infonline.de'
138.121.63.133 '138-121-63-133.rev.talklink.com.br'
192.207.206.3 'ns1.recife.pe.gov.br'
172.64.33.98 'darl.ns.cloudflare.com'
108.162.193.98 'darl.ns.cloudflare.com'
191.7.215.22 'ns.online.net.br'
85.62.233.129 'ns2.orange.es'
162.13.87.182 'root8.zone.tc'
130.14.55.72 'lhcns1.nlm.nih.gov'
201.182.48.23 '201-182-48-23.static.ultranet.psi.br'
213.174.157.37 NotFound
108.162.193.127 'ken.ns.cloudflare.com'
209.171.204.48 NotFound
209.171.203.40 NotFound
209.171.203.24 NotFound
212.183.10.24 'ns1.omicron.at'
201.31.0.19 'lindns01.pa.embratelcloud.com.br'
145.253.186.69 'ns2.omicron.at'
45.168.154.35 'ns2.spacefibra.net.br'
37.139.2.202 'ns2.baseip.com'
162.159.38.129 'nova.ns.cloudflare.com'
172.64.34.129 'nova.ns.cloudflare.com'
169.48.121.207 'ns9.sorbs.net'
204.61.216.113 'ao03.dns.pt'
87.98.206.106 'swell.todoo.biz'
193.29.206.2 'd.ext.nic.cz'
108.162.195.217 'moura.ns.cloudflare.com'
5.11.11.1 'ns1.liquidtelecom.net'
87.98.206.101 'fred.nic.ao'
193.68.3.232 'ns2.register.bg'
40.0.120.100 'dns2c.xh2.lilly.com'
40.0.170.129 'dns3c.xh3.lilly.com'
